t=2026-07-23T15:47:01+0300 lvl=info msg="no configuration paths supplied"
t=2026-07-23T15:47:01+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-23T15:47:01+0300 lvl=info msg="open config file" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-23T15:47:01+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-23T15:47:01+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-23T15:47:04+0300 lvl=info msg=start pg=/api/tunnels id=f52c7deff4336756
t=2026-07-23T15:47:04+0300 lvl=info msg=end pg=/api/tunnels id=f52c7deff4336756 status=200 dur=1.041ms
t=2026-07-23T15:47:06+0300 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": context deadline exceeded"
t=2026-07-23T15:47:12+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-23T15:47:12+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=4c5d97e9424f l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=0b0cb4ae7060 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=df0b409444ae l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=a3d08fbe60b2 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=27a56836700a l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=498ef3c414b7 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:14+0300 lvl=info msg="join connections" obj=join id=a546df729f1c l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:19+0300 lvl=info msg="join connections" obj=join id=4c4270b70a94 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:50:22+0300 lvl=info msg="join connections" obj=join id=810ef981fddc l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:23+0300 lvl=info msg="join connections" obj=join id=8bb8f69abf4c l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:23+0300 lvl=info msg="join connections" obj=join id=acd82e34b084 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:24+0300 lvl=info msg="join connections" obj=join id=4d03d98ca301 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:24+0300 lvl=info msg="join connections" obj=join id=149a199018fa l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:25+0300 lvl=info msg="join connections" obj=join id=a87603db8d6c l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:25+0300 lvl=info msg="join connections" obj=join id=ba7f9ac7e8b6 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:25+0300 lvl=info msg="join connections" obj=join id=9da8de18789e l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:25+0300 lvl=info msg="join connections" obj=join id=e423fd93abde l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:27+0300 lvl=info msg="join connections" obj=join id=9384eff596f0 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:27+0300 lvl=info msg="join connections" obj=join id=c3f71db8cfde l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:27+0300 lvl=info msg="join connections" obj=join id=44cd22a5e1a7 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:27+0300 lvl=info msg="join connections" obj=join id=780b6aab2762 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:27+0300 lvl=info msg="join connections" obj=join id=7795b285b8bf l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:27+0300 lvl=info msg="join connections" obj=join id=f81dd4bfee03 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:30+0300 lvl=info msg="join connections" obj=join id=4c62d59bda01 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:10+0300 lvl=info msg="join connections" obj=join id=b585d81500d1 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:12+0300 lvl=info msg="join connections" obj=join id=61ffae8152a3 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:12+0300 lvl=info msg="join connections" obj=join id=25ba40f2f717 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:12+0300 lvl=info msg="join connections" obj=join id=3a068d288fa4 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:12+0300 lvl=info msg="join connections" obj=join id=6838ccab4412 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:13+0300 lvl=info msg="join connections" obj=join id=58e3caebc750 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:13+0300 lvl=info msg="join connections" obj=join id=bd8f78f0755a l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:13+0300 lvl=info msg="join connections" obj=join id=7a42efd76d18 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:13+0300 lvl=info msg="join connections" obj=join id=30f0c83d74e6 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:13+0300 lvl=info msg="join connections" obj=join id=90351b38815d l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:13+0300 lvl=info msg="join connections" obj=join id=290cae209e8e l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:17+0300 lvl=info msg="join connections" obj=join id=385d454df068 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:17+0300 lvl=info msg="join connections" obj=join id=e163bc5acd1a l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:17+0300 lvl=info msg="join connections" obj=join id=c4d5061f82cb l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:17+0300 lvl=info msg="join connections" obj=join id=da515e4377b1 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:20+0300 lvl=info msg="join connections" obj=join id=d9befbbd20f2 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:20+0300 lvl=info msg="join connections" obj=join id=1a46fe187f39 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:23+0300 lvl=info msg="join connections" obj=join id=245df0b8a283 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:52:31+0300 lvl=info msg="join connections" obj=join id=835912c97df6 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=888efc396001 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=ee48130220e6 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=585e1c42df67 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=403828971a04 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=d956cd3f9958 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=f41d40a4301d l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=78305ffd6543 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=1798dd06ec3c l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=f14b17dca1c8 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=97898798b18f l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=d031528da9de l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=be6037eab4bd l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=776c01facc82 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:32+0300 lvl=info msg="join connections" obj=join id=fadf97d01265 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:37+0300 lvl=info msg="join connections" obj=join id=935959df9e35 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:38+0300 lvl=info msg="join connections" obj=join id=96479af66da8 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:38+0300 lvl=info msg="join connections" obj=join id=3ae8eb40c7d9 l=127.0.0.1:8000 r=102.203.137.236:59844
t=2026-07-23T15:52:38+0300 lvl=info msg="join connections" obj=join id=9fff599cf159 l=127.0.0.1:8000 r=102.203.137.236:59844
